Date,Open,High,Low,Close,Adj Close,Volume
1/4/21,539,540.799988,515.090027,522.859985,522.859985,4444400
1/5/21,521.549988,526.780029,515.890015,520.799988,520.799988,3133900
1/6/21,511.970001,513.099976,499.5,500.48999,500.48999,5346200
1/7/21,508.279999,516.440002,506.420013,508.890015,508.890015,3686400
1/8/21,511.309998,513.23999,504.51001,510.399994,510.399994,2973900
1/11/21,507.839996,510.730011,497.950012,499.100006,499.100006,3806200
1/12/21,500,501.089996,485.670013,494.25,494.25,5990400
1/13/21,495.5,512.349976,493.01001,507.790009,507.790009,5032100
1/14/21,507.350006,514.5,499.579987,500.859985,500.859985,4177400
1/15/21,500,506.320007,495.100006,497.980011,497.980011,5895800
1/19/21,501,509.25,493.540009,501.769989,501.769989,12315800
1/20/21,565.419983,593.289978,556.859985,586.340027,586.340027,32637500
1/21/21,582.450012,588.75,570.400024,579.840027,579.840027,11802100
1/22/21,582.099976,583.98999,564.349976,565.169983,565.169983,7550800
1/25/21,567,569.75,548.650024,556.780029,556.780029,7207300
1/26/21,554.72998,567.98999,554.059998,561.929993,561.929993,5023800
1/27/21,550.710022,556.419983,515.72998,523.280029,523.280029,8670300
1/28/21,535.880005,553.150024,530.73999,538.599976,538.599976,5969000
1/29/21,538,541,530.179993,532.390015,532.390015,4325300
2/1/21,536.789978,545.059998,531.72998,539.039978,539.039978,3547500
2/2/21,542.01001,555.47998,538.929993,548.159973,548.159973,3767600
2/3/21,550.169983,550.47998,538.23999,539.450012,539.450012,3172300
2/4/21,539.809998,559.47998,537.51001,552.159973,552.159973,5164500
2/5/21,552.26001,554.440002,545.47998,550.789978,550.789978,2376200
2/8/21,555,555,543.700012,547.919983,547.919983,2791700
2/9/21,546,566,543,559.070007,559.070007,3703500
2/10/21,562.5,566.650024,553.460022,563.590027,563.590027,3991300
2/11/21,564.440002,565.929993,554.219971,557.590027,557.590027,2730600
2/12/21,556.940002,561.25,550.849976,556.52002,556.52002,2197100
2/16/21,557.289978,563.630005,552.72998,557.280029,557.280029,2624100
2/17/21,550.98999,555.25,543.030029,551.340027,551.340027,2069600
2/18/21,549,550,538.22998,548.219971,548.219971,2456200
2/19/21,548,548.98999,538.809998,540.219971,540.219971,2841500
2/22/21,534.98999,541.789978,530.789978,533.780029,533.780029,3078600
2/23/21,525,548.539978,518.280029,546.150024,546.150024,4136500
2/24/21,539.799988,556.849976,539.070007,553.409973,553.409973,3245000
2/25/21,550.27002,556.47998,535.75,546.700012,546.700012,4252900
2/26/21,546.51001,553.090027,538,538.849976,538.849976,3755600
3/1/21,545.570007,552.140015,542,550.640015,550.640015,3041400
3/2/21,553.340027,556.98999,546.02002,547.820007,547.820007,3042200
3/3/21,545.929993,548.01001,517.809998,520.700012,520.700012,5362400
3/4/21,521.5,531.5,507.679993,511.290009,511.290009,5034800
3/5/21,511.980011,517.76001,498.790009,516.390015,516.390015,5070000
3/8/21,514.460022,518.840027,492.850006,493.329987,493.329987,3981800
3/9/21,507.309998,513.109985,503.820007,506.440002,506.440002,3470000
3/10/21,513.5,518.969971,504.25,504.540009,504.540009,3771500
3/11/21,512.200012,530.23999,510.709991,523.059998,523.059998,4714500
3/12/21,512.5,526.51001,506.589996,518.02002,518.02002,3981700
3/15/21,516.320007,520.72998,508.029999,520.25,520.25,3484300
3/16/21,524.469971,533.419983,523.210022,524.030029,524.030029,3238900
3/17/21,522,528.369995,514.299988,524.440002,524.440002,2817400
3/18/21,516.400024,517.900024,503.850006,504.790009,504.790009,4094500
3/19/21,504.959991,513.190002,501.630005,512.179993,512.179993,4386400
3/22/21,509.130005,529.309998,509.130005,523.109985,523.109985,3360600
3/23/21,529.869995,543.119995,529.400024,535.090027,535.090027,5583500
3/24/21,533.780029,534.419983,520,520.809998,520.809998,4102200
3/25/21,516.98999,518.530029,497,502.859985,502.859985,4926800
3/26/21,502.820007,508.720001,496.679993,508.049988,508.049988,3467800
3/29/21,505.660004,518,504.399994,513.950012,513.950012,3330000
3/30/21,510.51001,514.409973,506.910004,513.390015,513.390015,2418100
